Country,EdLevel,YearsCodePro,Salary
10,3,18.0,161044.0
10,2,25.0,121018.0
11,1,30.0,195000.0
3,3,50.0,57999.0
10,0,27.0,184712.0
4,2,1.0,29000.0
4,2,30.0,85925.0
10,0,15.0,124840.0
11,0,11.0,230000.0
11,0,23.0,85000.0
11,1,18.0,160000.0
11,0,23.0,110000.0
11,2,18.0,190000.0
10,0,17.0,161783.0
4,2,10.0,69814.0
11,3,10.0,115000.0
3,2,8.0,54777.0
1,1,12.0,37297.0
4,2,11.0,85925.0
11,0,26.0,140000.0
11,2,40.0,200000.0
11,3,4.0,93000.0
4,0,10.0,144998.0
2,0,17.0,119943.0
11,3,9.0,100000.0
11,0,22.0,102000.0
11,0,11.0,170000.0
6,2,28.0,48333.0
11,0,20.0,175000.0
4,2,16.0,85925.0
11,1,25.0,130000.0
3,2,10.0,90221.0
11,2,13.0,150000.0
5,2,4.0,13160.0
11,1,9.0,160000.0
10,3,3.0,49681.0
11,0,9.0,100000.0
11,3,15.0,100000.0
11,2,22.0,220000.0
11,0,13.0,220000.0
11,0,22.0,250000.0
2,1,12.0,218079.0
11,0,35.0,140000.0
10,2,10.0,75159.0
11,0,25.0,150000.0
10,0,9.0,104458.0
9,2,5.0,65000.0
11,3,15.0,100000.0
11,0,31.0,150000.0
4,0,12.0,96666.0
11,3,10.0,150000.0
10,0,41.0,152865.0
6,1,25.0,29000.0
10,0,10.0,67516.0
6,1,36.0,64444.0
11,0,20.0,185000.0
8,2,10.0,85925.0
8,2,11.0,91295.0
3,2,12.0,67666.0
6,2,11.0,178343.0
3,2,6.0,63370.0
10,2,14.0,85350.0
11,0,3.0,120000.0
4,2,20.0,97740.0
11,0,7.0,205000.0
3,3,12.0,44037.0
11,2,1.0,101000.0
4,3,14.0,89147.0
6,0,10.0,86999.0
11,0,17.0,190000.0
10,1,0.5,31847.0
6,1,30.0,37592.0
7,2,30.0,53703.0
7,2,11.0,150369.0
4,1,1.0,10955.0
8,0,24.0,32222.0
5,2,11.0,47854.0
11,0,5.0,118000.0
11,0,20.0,150000.0
11,2,2.0,87250.0
4,0,5.0,55851.0
8,2,22.0,42962.0
7,0,6.0,56925.0
4,2,8.0,91295.0
11,0,10.0,124000.0
1,1,4.0,10070.0
6,0,11.0,91295.0
11,0,40.0,120000.0
3,2,1.0,44037.0
4,2,17.0,139628.0
11,0,10.0,205000.0
3,0,6.0,69814.0
10,3,18.0,49681.0
11,0,13.0,163000.0
3,3,5.0,66592.0
6,0,10.0,27926.0
11,0,7.0,105000.0
1,0,38.0,49233.0
9,2,6.0,48000.0
11,0,12.0,70000.0
11,0,25.0,150000.0
10,0,13.0,127388.0
8,3,31.0,53703.0
7,2,12.0,91295.0
2,2,15.0,122124.0
8,0,14.0,80555.0
11,0,17.0,175000.0
10,2,14.0,68535.0
11,0,2.0,120000.0
10,2,11.0,114649.0
10,0,0.5,33121.0
2,2,20.0,87231.0
2,0,12.0,93047.0
4,2,7.0,78621.0
7,2,4.0,64444.0
10,3,10.0,84076.0
4,2,15.0,83777.0
9,2,17.0,72000.0
10,0,2.0,35032.0
11,0,3.0,150000.0
2,2,12.0,123578.0
10,0,23.0,63694.0
10,0,3.0,73885.0
11,3,25.0,145000.0
11,0,2.0,92000.0
10,0,32.0,80254.0
11,1,28.0,118106.0
11,0,11.0,200000.0
6,3,18.0,32222.0
11,0,4.0,110000.0
11,0,10.0,215000.0
5,0,4.0,41872.0
11,0,10.0,195000.0
11,0,38.0,165000.0
11,0,10.0,127000.0
11,0,2.0,98000.0
11,3,0.5,90000.0
3,2,24.0,53703.0
11,2,8.0,175000.0
11,0,6.0,159000.0
11,2,14.0,155000.0
10,2,7.0,127388.0
3,2,24.0,71962.0
4,2,22.0,54777.0
11,1,27.0,170000.0
11,1,21.0,190000.0
11,0,6.0,120000.0
10,0,11.0,112101.0
11,0,3.0,85000.0
1,0,3.0,34609.0
9,2,4.0,10000.0
8,3,2.0,19333.0
11,0,25.0,174000.0
11,0,12.0,119000.0
11,1,30.0,80000.0
11,0,18.0,220000.0
11,0,30.0,100000.0
8,2,7.0,51555.0
3,2,3.0,19333.0
11,3,9.0,170000.0
11,2,8.0,126000.0
11,0,7.0,80000.0
3,2,23.0,93642.0
7,2,7.0,66162.0
7,1,18.0,53703.0
11,0,10.0,250000.0
10,2,5.0,75159.0
7,2,7.0,69814.0
11,3,20.0,90000.0
11,0,7.0,130000.0
10,0,2.0,44586.0
11,0,10.0,250000.0
11,2,7.0,155000.0
11,0,22.0,184000.0
11,0,5.0,150000.0
11,0,28.0,130000.0
10,3,7.0,101910.0
3,3,12.0,79481.0
5,0,2.0,17945.0
9,2,6.0,63600.0
11,3,15.0,75000.0
10,2,6.0,63694.0
11,3,8.0,80000.0
11,2,19.0,130000.0
11,1,23.0,132612.0
9,2,20.0,15876.0
11,0,3.0,73000.0
11,0,34.0,110000.0
4,2,26.0,64444.0
2,1,12.0,145386.0
11,1,12.0,250000.0
2,0,21.0,96937.0
4,0,7.0,70888.0
11,0,13.0,140000.0
6,0,6.0,37592.0
10,3,17.0,117197.0
11,3,22.0,175000.0
11,2,3.0,123000.0
10,2,36.0,98089.0
11,1,21.0,250000.0
6,2,4.0,45111.0
7,0,6.0,53703.0
4,1,22.0,69814.0
11,0,10.0,207000.0
4,2,14.0,122443.0
6,3,7.0,26852.0
11,3,2.0,130000.0
11,1,6.0,160000.0
1,0,12.0,52800.0
10,0,18.0,50955.0
11,1,6.0,137000.0
1,0,27.0,18462.0
11,0,10.0,150000.0
11,1,7.0,120000.0
5,0,7.0,20577.0
11,2,8.0,87500.0
11,0,7.0,70000.0
11,1,17.0,126000.0
11,0,13.0,152000.0
10,0,6.0,125859.0
4,2,12.0,77332.0
11,2,12.0,165000.0
2,0,26.0,116309.0
10,2,4.0,50955.0
11,2,23.0,165000.0
11,2,2.0,125000.0
11,0,9.0,200000.0
11,0,10.0,130000.0
11,2,3.0,102000.0
11,0,3.0,65000.0
10,0,5.0,44586.0
11,0,12.0,192000.0
4,2,4.0,69814.0
4,1,3.0,67129.0
11,0,21.0,163000.0
11,3,4.0,102907.0
11,0,10.0,180000.0
11,0,8.0,115000.0
3,2,1.0,53703.0
11,0,5.0,140000.0
11,0,5.0,102500.0
11,0,11.0,108000.0
2,0,15.0,75601.0
11,0,6.0,132000.0
11,0,16.0,140000.0
4,1,3.0,12889.0
11,2,12.0,200000.0
11,2,5.0,200000.0
11,2,17.0,93000.0
11,0,10.0,155250.0
4,0,22.0,118147.0
10,0,34.0,95541.0
2,2,24.0,109039.0
11,0,5.0,102000.0
4,1,9.0,73036.0
11,0,17.0,150000.0
11,3,25.0,205000.0
4,2,11.0,81629.0
2,2,8.0,74874.0
4,1,7.0,107406.0
11,0,30.0,120000.0
4,3,11.0,64444.0
3,2,6.0,53703.0
11,0,8.0,91500.0
11,2,7.0,140000.0
11,0,13.0,97000.0
11,0,9.0,135200.0
4,2,17.0,85983.0
8,1,10.0,59073.0
6,1,10.0,214812.0
10,0,3.0,53503.0
4,3,10.0,107406.0
1,2,8.0,23311.0
11,0,11.0,110000.0
10,0,20.0,71814.0
1,1,15.0,96227.0
11,0,12.0,140000.0
4,0,22.0,107406.0
11,0,25.0,190000.0
5,0,10.0,95708.0
11,2,29.0,160000.0
8,2,21.0,53703.0
11,2,20.0,250000.0
10,1,10.0,47134.0
11,1,12.0,133600.0
3,2,8.0,69814.0
11,3,23.0,240000.0
11,0,31.0,150000.0
4,2,12.0,103110.0
2,0,12.0,138117.0
5,0,10.0,95708.0
11,0,2.0,88000.0
11,0,25.0,144000.0
9,2,5.0,29621.0
3,2,20.0,64444.0
11,0,4.0,120000.0
6,1,7.0,42962.0
8,2,6.0,70888.0
11,0,19.0,158000.0
1,3,15.0,18649.0
1,2,10.0,130541.0
7,0,6.0,85184.0
11,0,6.0,145000.0
11,0,2.0,149000.0
11,0,6.0,90000.0
9,0,8.0,50000.0
7,0,26.0,57999.0
11,2,26.0,180000.0
2,3,5.0,72693.0
11,2,19.0,176800.0
11,3,20.0,200000.0
4,2,6.0,89147.0
3,2,13.0,60546.0
4,3,15.0,85925.0
4,2,10.0,51426.0
3,2,14.0,107406.0
11,0,19.0,175000.0
10,0,17.0,71337.0
11,1,10.0,250000.0
11,0,3.0,115000.0
7,2,5.0,48333.0
1,0,5.0,18649.0
0,0,4.0,109009.0
